kode_gejala,deskripsi_gejala
G001,"Demam / Suhu tubuh meningkat"
G002,"Menggaruk, menjilat, atau menggigit bagian tubuh (termasuk telinga, dagu, kaki, ekor, leher) secara berlebihan / Gatal"
G003,"Kerontokan bulu, penipisan bulu, kebotakan (bisa berpola/melingkar atau di area spesifik seperti dagu, ekor, dekat kemaluan), bulu kasar/pucat"
G004,"Ruam kemerahan pada kulit / Lesi melingkar di kepala/badan"
G005,"Penebalan kulit di bagian tertentu / Penebalan area lesi"
G006,"Kulit terlihat kering / Kasar"
G007,"Muncul ketombe pada rambut"
G008,"Terdapat kerak (bisa melingkar, hitam di mulut/dagu, di sekitar telinga, tebal abu-abu di kepala/punggung, bersisik di kuping/kepala) / Kulit berkerak"
G009,"Sering menggelengkan kepala"
G010,"Telinga berbau menyengat / Bau tak sedap"
G011,"Perubahan perilaku / Stres / Gelisah / Agresif / Sensitif"
G012,"Mengeluarkan nanah dari kelenjar susu"
G013,"Kelenjar susu memerah / Meradang / Bengkak / Pecah"
G014,"Kucing merasa kesakitan"
G015,"Nafsu makan menurun / Berkurang"
G016,"Kucing terlihat lemas / Lesu / Lemah"
G017,"Perut kucing membesar (bukan hamil)"
G018,"Keluar leleran seperti nanah dari kelamin"
G019,"Menjilati bagian kelamin secara berlebihan"
G020,"Diare (terlalu sering, bisa encer, bisa disertai darah) / Gangguan pencernaan"
G021,"Kucing terlalu sering merejan"
G022,"Bagian perut kucing tegang"
G023,"Bercak bersisik pada kulit / Kulit mengelupas"
G024,"Muncul cairan berwarna gelap dari telinga / Kotoran telinga tebal kehitaman/kemerahan"
G025,"Mata berair / Bengkak"
G026,"Peradangan akibat gigitan"
G027,"Terdapat bagian kulit yang menonjol"
G028,"Ditemukan Kutu / Caplak / Pinjal"
G029,"Muntah"
G030,"Konjungtiva pucat"
G031,"Kelenjar getah bening membesar"
G032,"Bersin / Keluar leleran hidung / Batuk"
G033,"Dehidrasi"
G034,"Sesak nafas"
G035,"Keluar air liur berlebihan"
G036,"Gusi berdarah"
G037,"Bau mulut / Bau nafas tidak sedap"
G038,"Frekuensi Buang Air Besar (BAB) menurun"
G039,"Kulit bersisik"
G040,"Kepala miring / Tidak bisa berjalan lurus"
G041,"Kurus tapi perut buncit"
G042,"Ada cacing pada kotoran atau saat muntah"
G043,"Ekor berminyak dan berbau / Lembab di bagian ekor"
G044,"Keluar cairan kecoklatan dari ekor"
G045,"Benjolan cekung di tubuh"
G046,"Infeksi borok bernanah di wajah/hidung / Nanah berbau busuk"
G047,"Kulit sekitar leher memerah"
G048,"Bintik merah di kulit area dagu / Banyak komedo/bintik hitam di dagu/mulut"
G049,"Terdapat lubang bekas jerawat"
G050,"Kulit sekitar telinga berlubang / Berjamur"
G051,"Benjolan seperti bisul (bengkak di kepala, kaki depan, ekor, pinggang)"
G052,"Dagu terlihat kotor"
G053,"Bau menyengat dari kulit"
G054,"Berat badan mengalami penurunan"
