"kode_penyakit","nama_penyakit","deskripsi","solusi","pencegahan"
"P01","Scabies (Kudis)","Scabies, atau yang lebih dikenal dengan kudis, merupakan penyakit kulit menular yang disebabkan oleh infestasi tungau mikroskopis. Pada kucing, agen penyebab utamanya adalah tungau Sarcoptes scabiei atau Notoedres cati. Tungau ini memiliki kemampuan untuk menggali liang di bawah lapisan kulit, yang memicu reaksi hipersensitivitas dan rasa gatal yang sangat hebat pada hewan yang terinfestasi. Manifestasi klinis scabies pada kucing seringkali dimulai pada area kepala, terutama di sekitar telinga, wajah, dan leher. Gejala yang paling menonjol adalah pruritus (gatal) yang ekstrem, yang mendorong kucing untuk menggaruk, menjilat, atau bahkan menggigit area yang terkena secara berlebihan. Perilaku ini dapat menyebabkan kerusakan kulit sekunder, kerontokan bulu (alopesia), kemerahan (eritema), dan iritasi. Seiring berjalannya waktu, dapat terbentuk kerak tebal (krustasi) pada permukaan kulit. Kucing yang menderita scabies juga dapat menunjukkan perubahan perilaku seperti kegelisahan, penurunan nafsu makan, dan kelesuan umum. Penularan penyakit ini terjadi melalui kontak fisik langsung dengan hewan yang sudah terinfeksi atau melalui kontak dengan lingkungan yang terkontaminasi oleh tungau, seperti alas tidur, karpet, atau peralatan perawatan. Hewan dengan sistem kekebalan tubuh yang lemah atau terganggu diketahui lebih rentan terhadap infestasi tungau ini. Salah satu aspek penting dari scabies pada kucing adalah sifatnya yang zoonosis, yang berarti penyakit ini dapat ditularkan dari hewan ke manusia. Meskipun manusia bukanlah inang ideal bagi tungau kucing, kontak dengan kucing yang terinfestasi dapat menyebabkan timbulnya ruam gatal yang bersifat sementara, mirip dengan dermatitis pada manusia.","Langkah pertama dan paling krusial dalam penanganan scabies adalah melakukan konsultasi dengan dokter hewan. Dokter hewan akan melakukan pemeriksaan fisik menyeluruh dan mungkin memerlukan pemeriksaan penunjang, seperti kerokan kulit, untuk mengidentifikasi keberadaan tungau atau telurnya di bawah mikroskop, sehingga diagnosis yang akurat dapat ditegakkan. Pengobatan scabies umumnya melibatkan kombinasi beberapa agen terapeutik. Obat topikal dalam bentuk salep, krim, atau larutan yang mengandung bahan aktif seperti selamectin atau moxidectin sering diresepkan untuk dioleskan langsung pada area kulit yang terinfeksi. Pada kasus yang lebih parah atau meluas, dokter hewan mungkin akan memberikan obat antiparasit sistemik, baik dalam bentuk oral maupun suntikan, seperti ivermectin. Memandikan kucing dengan sampo antitungau khusus yang direkomendasikan oleh dokter hewan juga merupakan bagian penting dari terapi. Sampo ini membantu mengurangi populasi tungau pada permukaan kulit dan meredakan iritasi serta peradangan. Selain itu, jika terdapat infeksi bakteri sekunder akibat luka garukan, dokter hewan dapat meresepkan antibiotik. Obat untuk meredakan rasa gatal juga mungkin diberikan untuk meningkatkan kenyamanan kucing selama proses penyembuhan. Pengobatan scabies memerlukan pendekatan yang komprehensif, tidak hanya terfokus pada pengobatan hewan yang sakit tetapi juga melibatkan sanitasi lingkungan secara menyeluruh. Tungau dapat bertahan hidup di lingkungan selama beberapa waktu, sehingga pembersihan dan disinfeksi area tempat tinggal kucing, termasuk alas tidur, mainan, dan perabotan, sangat penting untuk mencegah re-infestasi.","Pencegahan scabies melibatkan beberapa strategi utama yang berfokus pada kebersihan individu hewan dan lingkungannya. Menjaga kebersihan lingkungan tempat tinggal kucing adalah fundamental. Ini termasuk mencuci alas tidur, selimut, dan mainan kain secara rutin menggunakan air panas, serta membersihkan karpet dan perabotan dengan penyedot debu secara berkala. Menghindari kontak kucing peliharaan dengan hewan lain yang diketahui atau dicurigai terinfeksi scabies juga merupakan langkah pencegahan yang penting. Kewaspadaan ekstra diperlukan jika kucing sering berinteraksi dengan hewan liar atau hewan lain di luar rumah. Memperkuat sistem kekebalan tubuh kucing melalui pemberian nutrisi yang seimbang dan berkualitas, serta perawatan kesehatan rutin termasuk vaksinasi dan pemeriksaan berkala, dapat membantu meningkatkan resistensi tubuh terhadap berbagai infeksi, termasuk infestasi parasit. Deteksi dini gejala adalah kunci. Jika pemilik mencurigai adanya tanda-tanda awal scabies, seperti gatal berlebihan atau perubahan pada kulit, segera konsultasikan dengan dokter hewan. Penanganan yang cepat dapat mencegah penyebaran infestasi ke area tubuh lain, mengurangi risiko komplikasi, dan memutus rantai penularan ke hewan lain atau manusia."
"P02","Ringworm (Kurap)","Ringworm, yang secara medis dikenal sebagai dermatofitosis, adalah infeksi jamur superfisial yang menyerang lapisan terluar kulit, rambut, dan kuku hewan, termasuk anjing dan kucing. Kondisi ini disebabkan oleh jamur, bukan oleh cacing. Jamur penyebab ringworm memperoleh nutrisi dengan mengonsumsi keratin. Gejala klinis yang paling klasik adalah munculnya lesi atau bercak pada kulit yang berbentuk melingkar atau oval, seringkali dengan bagian tepi yang sedikit menonjol, kemerahan, dan bersisik, sementara bagian tengahnya tampak lebih normal atau mengalami kebotakan (alopesia). Gejala lain meliputi area kebotakan yang tidak beraturan, rambut yang patah, kerak-kerak halus, kulit yang menebal, dan perubahan warna kulit. Area yang sering terinfeksi adalah wajah, telinga, panggul, dan ekor. Ringworm sangat menular antar hewan dan dari hewan ke manusia (zoonosis) melalui kontak langsung atau tidak langsung dengan spora jamur yang dapat bertahan lama di lingkungan. Diagnosis pasti memerlukan pemeriksaan oleh dokter hewan, seperti penggunaan lampu Wood, pemeriksaan mikroskopis, atau kultur jamur.","Penanganan ringworm harus di bawah supervisi dokter hewan. Pengobatan umumnya melibatkan kombinasi terapi sistemik (obat antijamur oral seperti griseofulvin, itraconazole, atau terbinafine) dan terapi topikal (krim, salep, atau sampo antijamur). Lama pengobatan bervariasi dari beberapa minggu hingga beberapa bulan. Dokter hewan mungkin menyarankan untuk mencukur bulu di sekitar area yang terinfeksi atau seluruh tubuh untuk mempermudah aplikasi obat dan mengurangi kontaminasi spora. Karantina hewan yang terinfeksi sangat dianjurkan untuk meminimalisir risiko penyebaran. Sangat penting untuk melanjutkan pengobatan sesuai durasi yang direkomendasikan, bahkan jika lesi tampak sudah membaik, untuk mencegah kekambuhan.","Dekontaminasi lingkungan merupakan aspek krusial dalam pencegahan ringworm. Langkah-langkahnya meliputi: menyedot debu secara menyeluruh, mencuci semua alas tidur dan mainan hewan dengan air panas, serta melakukan disinfeksi pada permukaan keras dan kandang dengan disinfektan yang efektif terhadap spora jamur (misalnya, larutan pemutih). Isolasi hewan yang terinfeksi dari hewan lain yang sehat adalah langkah penting. Saat merawat hewan yang terinfeksi, gunakan sarung tangan sekali pakai dan cuci tangan setelahnya. Menjaga kebersihan umum hewan dan lingkungan serta menghindari kontak dengan hewan liar atau yang menunjukkan gejala penyakit kulit juga berperan dalam pencegahan."
"P03","Ear Mites (Tungau/Kutu Telinga)","Tungau telinga (*Otodectes cynotis*) adalah parasit eksternal kecil yang umum menginfestasi saluran telinga luar anjing dan kucing. Parasit ini hidup dengan memakan debris kulit dan kotoran telinga, yang memicu peradangan dan rasa tidak nyaman. Gejala klinis yang paling sering adalah gatal hebat pada area telinga, menyebabkan hewan sering menggaruk atau menggelengkan kepala. Pemeriksaan telinga akan menunjukkan kotoran berwarna gelap (coklat tua hingga hitam), kering, dan bertekstur seperti bubuk kopi. Telinga juga bisa berbau tidak sedap, kemerahan, dan meradang. Jika tidak ditangani, dapat timbul komplikasi seperti infeksi sekunder atau kerusakan struktur telinga. Penularan terjadi melalui kontak fisik langsung antar hewan, dengan anak hewan lebih rentan. Ada potensi zoonosis rendah, di mana manusia bisa mengalami ruam gatal sementara.","Diagnosis ditegakkan oleh dokter hewan melalui pemeriksaan otoskopik dan mikroskopis sampel kotoran telinga. Pengobatan dimulai dengan pembersihan saluran telinga secara menyeluruh oleh dokter hewan. Setelah itu, dokter hewan akan meresepkan obat tetes telinga yang mengandung agen antiparasit (seperti ivermectin, selamectin). Beberapa produk antiparasit sistemik dalam bentuk spot-on atau oral juga efektif. Sangat penting untuk mengobati semua hewan peliharaan yang tinggal serumah secara bersamaan untuk mencegah re-infestasi. Pada kasus yang parah, pembersihan mungkin perlu dilakukan di bawah pengaruh sedasi. Kepatuhan terhadap durasi pengobatan (sekitar 3 minggu atau lebih) sangat penting untuk membasmi seluruh siklus hidup tungau.","Lakukan pemeriksaan telinga hewan secara rutin (minimal seminggu sekali) untuk mendeteksi tanda-tanda awal masalah. Jaga kebersihan lingkungan, termasuk mencuci alas tidur secara teratur dengan air panas dan vakum karpet. Gunakan produk pencegahan parasit eksternal secara rutin sesuai rekomendasi dokter hewan. Isolasi hewan baru selama beberapa waktu sebelum diperkenalkan dengan hewan lain, dan periksakan ke dokter hewan. Hindari kontak dengan hewan lain yang dicurigai memiliki tungau telinga. Mengingat tungau dapat bertahan hidup di lingkungan selama beberapa hari, pembersihan lingkungan adalah tindakan pencegahan rutin yang berkelanjutan."
"P04","Mastitis","Mastitis adalah peradangan pada satu atau lebih kelenjar susu (mammae), paling umum terjadi pada hewan betina yang sedang menyusui atau baru melahirkan. Penyebab utamanya adalah infeksi bakteri (seringkali *Staphylococcus spp.* atau *Streptococcus spp.*) yang masuk melalui saluran puting. Faktor risiko meliputi luka pada puting, sanitasi lingkungan yang buruk, atau sistem kekebalan yang lemah. Akumulasi air susu yang berlebihan (galaktostasis) juga dapat memicu peradangan. Gejala klinisnya meliputi pembengkakan, kemerahan, rasa hangat, dan nyeri pada kelenjar susu. Air susu bisa berubah warna (kemerahan, kecoklatan, kehijauan), konsistensi (menggumpal, encer), dan berbau tidak sedap. Induk bisa demam, lesu, kehilangan nafsu makan, dan menolak menyusui. Terkadang, satu-satunya indikasi awal adalah anak hewan yang gagal tumbuh kembang.","Segera konsultasikan dengan dokter hewan jika ada kecurigaan mastitis. Dokter hewan akan melakukan pemeriksaan fisik dan mungkin mengambil sampel air susu untuk kultur bakteri guna menentukan antibiotik yang paling sesuai. Pengobatan utama adalah pemberian antibiotik sesuai resep. Kompres hangat pada kelenjar susu yang meradang dapat membantu mengurangi nyeri dan melancarkan aliran susu. Pengosongan kelenjar susu secara teratur (dengan membiarkan anak hewan menyusu jika diizinkan, atau memerah manual) juga penting. Obat anti-nyeri atau anti-inflamasi dapat diresepkan. Pada kasus yang parah, perawatan rawat inap dengan infus dan antibiotik injeksi mungkin diperlukan. Dalam kasus yang sangat jarang, tindakan bedah pengangkatan kelenjar susu (mastektomi) bisa menjadi pilihan.","Menjaga kebersihan area tinggal hewan, terutama tempat induk dan anak-anaknya, sangat penting. Pastikan alas tidur selalu bersih dan kering. Pastikan semua kelenjar susu dikosongkan secara merata oleh anak-anak hewan. Lakukan pemeriksaan rutin pada kelenjar susu induk selama periode menyusui untuk deteksi dini peradangan. Hindari trauma atau cedera pada kelenjar susu. Pastikan induk mendapatkan nutrisi yang optimal selama kehamilan dan menyusui untuk mendukung sistem kekebalan tubuh. Lakukan proses penyapihan anak hewan secara bertahap untuk menghindari penumpukan air susu. Pertimbangkan faktor genetik pada program pembiakan untuk mengurangi insiden."
"P05","Pyometra","Pyometra adalah infeksi bakteri serius dan berpotensi mengancam jiwa pada rahim (uterus) hewan betina yang belum disterilisasi, ditandai dengan akumulasi nanah. Umumnya menyerang hewan betina berusia lebih tua yang belum disteril dan sering berkembang 2-8 minggu setelah siklus birahi terakhir. Perubahan hormonal, terutama peningkatan progesteron, menyebabkan penebalan dinding rahim dan menciptakan lingkungan ideal bagi bakteri (umumnya E. coli). Pyometra bisa 'terbuka' (nanah keluar dari vagina) atau 'tertutup' (nanah terperangkap di dalam rahim, menyebabkan pembengkakan perut dan risiko sepsis atau ruptur rahim yang lebih tinggi). Gejala umum meliputi leleran abnormal dari vagina, perut kembung, lesu, anoreksia, muntah, diare, demam, dan peningkatan rasa haus serta frekuensi buang air kecil. Pyometra adalah kondisi darurat medis.","Diagnosis ditegakkan oleh dokter hewan melalui riwayat kesehatan, gejala klinis, pemeriksaan fisik, tes darah (menunjukkan infeksi), dan pencitraan (Rontgen atau USG) untuk mengonfirmasi rahim yang membesar dan berisi nanah. Pengobatan standar dan paling efektif adalah tindakan bedah pengangkatan rahim dan ovarium (ovariohisterektomi/sterilisasi). Prosedur ini lebih berisiko pada kasus pyometra dibandingkan sterilisasi rutin. Perawatan suportif intensif sebelum dan sesudah operasi sangat penting, meliputi terapi cairan intravena (infus), antibiotik spektrum luas, dan obat pereda nyeri. Terapi medis dengan hormon prostaglandin bisa menjadi pilihan pada kasus pyometra terbuka yang ringan, namun memiliki tingkat keberhasilan lebih rendah dan risiko efek samping.","Satu-satunya cara pencegahan yang paling efektif dan direkomendasikan adalah melalui prosedur sterilisasi (ovariohisterektomi) pada hewan betina, idealnya dilakukan pada usia muda (sekitar 6-7 bulan) sebelum siklus birahi pertama. Dengan mengangkat rahim dan ovarium, risiko perkembangan pyometra dihilangkan sepenuhnya. Jika pemilik memutuskan untuk tidak mensterilkan hewannya, mereka harus sangat waspada terhadap gejala-gejala pyometra, terutama beberapa minggu setelah setiap periode birahi. Deteksi dini dan penanganan segera adalah kunci untuk meningkatkan prognosis. Edukasi mengenai risiko serius pyometra pada hewan yang tidak disteril sangat penting."
"P06","Prolaps Rektum","Prolaps rektum adalah kondisi di mana sebagian atau seluruh lapisan dinding rektum (bagian akhir usus besar) menonjol keluar melalui anus. Penyebab mendasarnya adalah peningkatan tekanan intra-abdomen atau peregangan kuat yang berulang-ulang. Faktor pemicu umum meliputi: konstipasi kronis, diare parah, infestasi parasit cacing masif, peradangan usus atau kandung kemih, batu saluran kemih, kesulitan melahirkan (distokia), atau adanya tumor di area rektum. Gejala klinis yang paling jelas adalah adanya massa jaringan berwarna merah muda hingga merah tua berbentuk silindris yang menonjol dari anus. Hewan mungkin menunjukkan tanda kesakitan, kegelisahan, dan sering menjilati area tersebut. Jika jaringan terpapar lama, warnanya bisa menjadi gelap atau kehitaman (nekrosis). Prolaps rektum seringkali merupakan gejala dari masalah kesehatan lain yang mendasarinya.","Jika terjadi prolaps rektum, segera bawa hewan ke dokter hewan. Penanganan dini krusial untuk mencegah kerusakan jaringan permanen. Dokter hewan akan melakukan pemeriksaan fisik dan penunjang (tes darah, feses, dll) untuk mengidentifikasi penyebab dasar. Jika jaringan masih sehat, dokter hewan mungkin akan mencoba melakukan reposisi manual di bawah anestesi, diikuti dengan penjahitan sementara di sekitar anus (*purse-string suture*) untuk mencegah kekambuhan. Jika jaringan sudah rusak parah atau prolaps berulang, tindakan bedah mungkin diperlukan, seperti amputasi bagian rektum yang rusak atau prosedur *colopexy* (fiksasi usus besar ke dinding perut). Pengobatan terhadap penyebab dasar (misalnya, pemberian obat cacing, penyesuaian diet) sangat krusial.","Pencegahan prolaps rektum melibatkan upaya mengatasi atau menghindari faktor-faktor risikonya. Segera atasi masalah pencernaan seperti diare atau konstipasi dengan diet yang seimbang dan hidrasi yang cukup. Lakukan program deworming (pemberian obat cacing) secara rutin sesuai rekomendasi dokter hewan, terutama pada hewan muda. Jaga kebersihan area anus hewan. Hindari faktor yang menyebabkan hewan mengejan berlebihan. Pastikan proses persalinan berjalan lancar dan cari bantuan jika ada kesulitan. Lakukan pemeriksaan kesehatan rutin ke dokter hewan untuk deteksi dini masalah kesehatan yang berpotensi memicu prolaps. Menjaga sistem pencernaan hewan tetap sehat adalah cara paling efektif untuk meminimalisir risiko."
"P07","Infeksi Bakteri","Infeksi bakteri terjadi ketika bakteri patogen menginvasi jaringan tubuh dan berkembang biak. Bakteri dapat menginfeksi hampir semua sistem organ, termasuk kulit (pioderma), saluran kemih (sistitis), pernapasan (pneumonia), pencernaan (enteritis), mata (konjungtivitis), atau menyebar secara sistemik (sepsis, contohnya Leptospirosis). Gejala sangat bervariasi tergantung lokasi dan tingkat keparahan infeksi, namun gejala umum meliputi demam, lesu, kehilangan nafsu makan, muntah, dan diare. Penularan bisa melalui kontak langsung, lingkungan terkontaminasi, makanan/air terkontaminasi, atau luka terbuka. Beberapa infeksi bakteri bersifat zoonosis (dapat menular ke manusia), seperti Leptospirosis. Istilah 'Infeksi Bakteri' sangat luas, sehingga diagnosis spesifik oleh dokter hewan sangat penting.","Diagnosis akurat oleh dokter hewan adalah langkah fundamental. Ini melibatkan pemeriksaan fisik, tes darah, urinalisis, dan yang terpenting, kultur bakteri dari sampel yang relevan (misalnya usap kulit, sampel urin) untuk mengidentifikasi bakteri spesifik dan melakukan uji sensitivitas antibiotik. Pengobatan utama adalah pemberian antibiotik yang jenis, dosis, dan durasinya ditentukan oleh dokter hewan. Sangat penting untuk memberikan seluruh kursus antibiotik sesuai resep untuk mencegah kekambuhan dan resistensi antibiotik. Perawatan suportif seperti terapi cairan (infus), obat anti-mual, dan dukungan nutrisi sering diperlukan. Pada kasus abses, drainase bedah mungkin diperlukan.","Upaya pencegahan infeksi bakteri meliputi beberapa strategi. Vaksinasi dapat mencegah beberapa infeksi spesifik (misalnya, Leptospirosis). Praktik kebersihan yang baik, seperti membersihkan kandang, tempat tidur, serta mangkuk makan dan minum, adalah fundamental. Hindari kontak hewan peliharaan dengan hewan liar atau sakit, serta area terkontaminasi seperti genangan air kotor. Pastikan hewan mendapatkan makanan dan air minum yang aman. Segera rawat setiap luka pada kulit untuk mencegah invasi bakteri. Lakukan pemeriksaan kesehatan rutin ke dokter hewan untuk deteksi dini. Menjaga kesehatan umum hewan melalui nutrisi yang baik dan manajemen stres juga sangat penting untuk meminimalisir risiko infeksi oportunistik."
"P08","Infeksi Jamur","Infeksi jamur (mikosis) disebabkan oleh berbagai jenis jamur patogen. Yang paling umum adalah Ringworm (dermatofitosis), disebabkan oleh jamur dermatofita yang menginfeksi kulit, rambut, dan kuku. Infeksi lain yang umum adalah dari ragi *Malassezia*, yang menyebabkan dermatitis dan radang telinga. Infeksi bisa bersifat lokal (kulit, telinga) atau sistemik (menginfeksi organ dalam, lebih serius). Gejala bervariasi: untuk Ringworm, gejalanya adalah lesi melingkar, kerontokan bulu, kulit bersisik/berkerak, dan gatal. Untuk infeksi *Malassezia* di telinga, gejalanya adalah gatal hebat, kemerahan, bau, dan kotoran telinga berlebih berwarna gelap. Penularan terjadi melalui kontak langsung dengan hewan terinfeksi atau spora jamur di lingkungan. Hewan dengan sistem kekebalan lemah atau kulit rusak lebih rentan. Ringworm bersifat zoonosis (dapat menular ke manusia).","Diagnosis harus ditegakkan oleh dokter hewan melalui pemeriksaan fisik, lampu Wood (untuk beberapa strain Ringworm), pemeriksaan mikroskopis, atau kultur jamur. Pengobatan tergantung pada jenis, lokasi, dan tingkat keparahan infeksi. Untuk Ringworm, pengobatan melibatkan kombinasi obat antijamur oral (seperti itraconazole) dan terapi topikal (sampo atau krim antijamur). Untuk infeksi *Malassezia*, digunakan sampo atau pembersih telinga antijamur, dan mungkin obat oral pada kasus berat. Infeksi jamur sistemik memerlukan pengobatan antijamur oral jangka panjang. Karantina hewan yang terinfeksi Ringworm sangat penting. Durasi pengobatan seringkali lama dan tidak boleh dihentikan terlalu dini untuk mencegah kekambuhan.","Menjaga kebersihan hewan dan lingkungannya. Jaga lingkungan tetap kering, bersih, dan berventilasi baik, karena kelembaban mendukung pertumbuhan jamur. Lakukan dekontaminasi lingkungan secara menyeluruh jika ada kasus Ringworm, karena sporanya sangat resisten. Isolasi hewan yang terinfeksi dari hewan lain yang sehat. Hindari kontak dengan hewan lain yang dicurigai menderita infeksi jamur. Jaga sistem kekebalan tubuh hewan tetap kuat melalui nutrisi yang baik dan manajemen stres. Segera obati setiap luka pada kulit. Mengingat spora beberapa jamur bisa bertahan sangat lama di lingkungan, pendekatan pencegahan yang proaktif dan berkelanjutan sangat penting, terutama di lingkungan berisiko tinggi (shelter, cattery)."
"P09","Kutu (Parasit Eksternal/Pijal/Lice)","'Kutu' merujuk pada beberapa jenis ektoparasit, termasuk Pinjal (*Ctenocephalides felis*), Kutu Rambut (*Felicola subrostratus*), dan Caplak. Pinjal adalah serangga penghisap darah kecil yang bisa melompat jauh. Kutu rambut lebih lambat dan menghabiskan seluruh hidupnya pada inang. Caplak adalah araknida yang lebih besar, menempel untuk menghisap darah. Gejala umum infestasi kutu adalah gatal hebat, menyebabkan hewan menggaruk, menggigit, atau menjilati diri, yang bisa berujung pada iritasi kulit dan kerontokan bulu. Infestasi berat bisa menyebabkan anemia. Gigitan pinjal bisa memicu alergi (Flea Allergy Dermatitis/FAD). Caplak dapat menularkan penyakit serius seperti Babesiosis. Penularan terjadi melalui kontak langsung atau lingkungan yang terkontaminasi (untuk pinjal dan kutu rambut), atau dari lingkungan luar (untuk caplak).","Konsultasikan dengan dokter hewan untuk identifikasi parasit dan rekomendasi pengobatan yang tepat, aman, dan efektif. Produk anti-kutu tersedia dalam berbagai bentuk: obat tetes topikal (*spot-on*), tablet kunyah oral, spray atau sampo, dan kalung anti-kutu. Jika ditemukan caplak, lepaskan dengan hati-hati menggunakan pinset, tarik lurus ke atas tanpa memutar atau meremukkan badannya, lalu bersihkan area gigitan. Obati SEMUA hewan peliharaan di rumah secara bersamaan. Pembersihan lingkungan secara menyeluruh (vakum, cuci alas tidur dengan air panas) juga krusial, terutama untuk mengendalikan pinjal, karena sebagian besar siklus hidupnya terjadi di lingkungan, bukan pada hewan. Hati-hati dalam memilih produk, karena beberapa produk untuk anjing beracun bagi kucing.","Gunakan produk pencegahan kutu (spot-on, tablet, atau kalung) secara rutin sepanjang tahun sesuai rekomendasi dokter hewan. Jaga kebersihan rumah dan lingkungan tempat tinggal hewan. Lakukan pemeriksaan rutin pada bulu hewan, terutama setelah beraktivitas di luar. Sebisa mungkin hindari area yang diketahui memiliki populasi kutu atau caplak yang tinggi. Bahkan kucing yang tinggal di dalam ruangan (*indoor*) tetap berisiko karena pinjal bisa terbawa masuk oleh manusia. Waspadai adanya resistensi pinjal terhadap beberapa produk insektisida dan konsultasikan dengan dokter hewan jika produk yang digunakan tidak lagi efektif."
"P10","Parasit Internal (Cacingan/Helminthiasis/Endo Parasit)","Cacingan (Helminthiasis) adalah infeksi oleh cacing parasit yang hidup di dalam tubuh hewan (endo parasit), paling umum di saluran pencernaan, tetapi bisa juga di jantung atau paru-paru. Jenis cacing yang umum pada anjing dan kucing meliputi cacing gelang (*Toxocara*), cacing tambang (*Ancylostoma*), cacing pita (*Dipylidium*), dan cacing cambuk (*Trichuris*). Gejala bervariasi dari tanpa gejala hingga parah, terutama pada anak hewan. Gejala umum meliputi perut buncit, diare (kadang berdarah), muntah (kadang ada cacing), penurunan berat badan, bulu kusam, batuk, dan anemia. Penularan bisa melalui menelan telur cacing dari lingkungan, memakan inang perantara (seperti pinjal atau tikus), atau dari induk ke anak (melalui plasenta atau air susu). Banyak jenis cacing ini bersifat zoonosis (dapat menular ke manusia dan menyebabkan penyakit serius seperti *visceral/ocular larva migrans*).","Diagnosis biasanya ditegakkan oleh dokter hewan berdasarkan gejala dan dikonfirmasi melalui pemeriksaan sampel feses untuk mencari telur cacing. Pengobatan dilakukan dengan pemberian obat cacing (antelmintik) yang sesuai dengan jenis cacing yang menginfeksi, seperti yang mengandung febantel, praziquantel, dan pirantel. Pengobatan mungkin perlu diulang beberapa kali sesuai dengan siklus hidup cacing. Pada kasus infestasi yang sangat berat, perawatan suportif seperti terapi cairan (infus) atau transfusi darah mungkin diperlukan. Saat ini belum ada vaksin untuk mencegah cacingan pada anjing dan kucing.","Pencegahan bergantung pada program deworming rutin dan sanitasi. Berikan obat cacing secara rutin, dimulai sejak usia sangat muda pada anak anjing dan kucing, dan dilanjutkan secara berkala pada hewan dewasa sesuai rekomendasi dokter hewan. Jaga kebersihan lingkungan dengan segera membersihkan kotoran hewan setiap hari untuk mencegah kontaminasi. Lakukan pengendalian terhadap inang perantara seperti pinjal. Cegah hewan memakan hewan pengerat atau daging mentah. Biasakan mencuci tangan setelah bermain dengan hewan atau membersihkan kotorannya. Lakukan pemeriksaan feses rutin oleh dokter hewan untuk deteksi dini."
