"kode_penyakit","nama_penyakit","deskripsi","solusi","pencegahan"
"P11","Babesiosis","Babesiosis adalah penyakit parasit darah yang disebabkan oleh protozoa *Babesia*, yang menginfeksi dan menghancurkan sel darah merah, menyebabkan anemia hemolitik. Penularan utamanya melalui gigitan caplak yang terinfeksi, namun bisa juga melalui transfusi darah atau dari induk ke anak. Gejala bervariasi dari tanpa gejala hingga penyakit akut yang fatal. Gejala umum meliputi demam (terutama pada anjing), lesu, kehilangan nafsu makan, dan pucat pada selaput lendir (tanda anemia). Tanda khas pada kasus berat adalah urin berwarna gelap (merah hingga coklat) akibat hemoglobinuria, dan ikterus (penyakit kuning). Menariknya, demam dan ikterus lebih jarang terjadi pada kucing yang terinfeksi *Babesia felis* dibandingkan anjing.","Diagnosis ditegakkan berdasarkan riwayat paparan caplak, gejala klinis, dan pemeriksaan laboratorium. Pemeriksaan mikroskopis ulas darah dapat memperlihatkan parasit di dalam sel darah merah. Tes yang lebih sensitif seperti PCR atau serologi juga dapat digunakan. Pengobatan bertujuan membunuh parasit dan mengatasi komplikasi. Pilihan obat antiprotozoa (seperti diminazene, imidocarb, atau primaquine) tergantung pada spesies *Babesia* dan hewan yang terinfeksi. Perawatan suportif sangat penting, meliputi terapi cairan intravena (infus), transfusi darah jika anemia parah, dan obat-obatan lain untuk mengontrol gejala. Hewan yang sembuh seringkali menjadi *carrier* kronis, yang bisa mengalami kekambuhan dan menjadi sumber penularan.","Karena penularan utama melalui caplak, pengendalian populasi caplak adalah kunci pencegahan. Gunakan produk anti-caplak (akarisida) seperti *spot-on*, tablet, atau kalung secara rutin, terutama jika hewan tinggal di daerah endemik caplak. Periksa seluruh tubuh hewan secara teratur, terutama setelah beraktivitas di luar, dan segera lepaskan caplak yang menempel dengan benar. Jaga kebersihan lingkungan dengan memangkas rumput dan semak belukar. Hindari membawa hewan ke area berisiko tinggi. Pastikan darah untuk transfusi telah melalui proses skrining. Waspadai perubahan distribusi geografis caplak akibat perubahan iklim dan mobilitas hewan."
"P12","Suspect Calicivirus (FCV - Feline Calicivirus)","Feline Calicivirus (FCV) adalah virus yang sangat menular dan salah satu penyebab utama penyakit saluran pernapasan atas (ISPA) pada kucing, bagian dari kompleks 'flu kucing'. Penularan terjadi melalui kontak langsung dengan sekresi tubuh (air liur, sekret hidung/mata) dari kucing terinfeksi, atau melalui droplet bersin. Virus ini juga dapat bertahan di lingkungan (pada mangkuk, kandang, tangan manusia) selama beberapa hari hingga sebulan, memungkinkan penularan tidak langsung. Gejala klasik meliputi bersin, hidung meler, demam, lesu, dan konjungtivitis. Ciri khasnya adalah munculnya ulkus (luka) yang menyakitkan pada lidah, langit-langit mulut, atau bibir, menyebabkan kucing enggan makan/minum dan ngiler. Beberapa strain dapat menyebabkan kepincangan sementara (limping syndrome). Ada juga strain virulen (VS-FCV) yang menyebabkan penyakit sistemik parah dan seringkali fatal, meskipun jarang. Banyak kucing yang sembuh menjadi *carrier* (pembawa) asimtomatik, yang terus-menerus menyebarkan virus.","Belum ada obat antivirus spesifik untuk FCV. Pengobatan bersifat suportif dan simtomatik, bertujuan meredakan gejala, mencegah komplikasi, dan membantu sistem imun kucing melawan infeksi. Langkah-langkahnya meliputi: menjaga kebersihan saluran napas dan mata (membersihkan sekret, menggunakan nebulizer), dukungan nutrisi dan hidrasi (menawarkan makanan lunak beraroma, atau jika perlu, infus dan selang makanan), serta mengatasi infeksi bakteri sekunder dengan antibiotik (antibiotik tidak membunuh virus FCV itu sendiri). Obat anti-inflamasi (NSAID) dapat diberikan untuk meredakan demam dan nyeri. Pada kasus berat, rawat inap mungkin diperlukan.","Pencegahan melibatkan kombinasi vaksinasi, kebersihan, dan manajemen lingkungan. Vaksinasi terhadap FCV termasuk vaksin inti yang direkomendasikan untuk semua kucing; meskipun tidak selalu mencegah infeksi sepenuhnya, vaksinasi dapat mengurangi tingkat keparahan penyakit secara signifikan. Jaga kebersihan lingkungan dengan disinfeksi teratur menggunakan disinfektan yang efektif (seperti larutan pemutih yang diencerkan). Isolasi kucing yang sakit dari kucing lain yang sehat. Selalu cuci tangan setelah menangani kucing. Minimalkan stres pada kucing. Terapkan karantina untuk setiap kucing baru sebelum diperkenalkan dengan kucing lain. Karena banyaknya variasi strain FCV, penerapan praktik biosekuriti yang baik tetap penting bahkan pada kucing yang sudah divaksinasi."
"P13","Suspect Panleukopenia (FPL - Feline Panleukopenia Virus)","Feline Panleukopenia (FPL), atau distemper kucing, adalah penyakit virus yang sangat menular dan seringkali fatal, disebabkan oleh Feline Parvovirus (FPV) yang sangat tahan di lingkungan. Virus ini menyerang sel-sel yang membelah cepat, seperti di sumsum tulang, jaringan limfoid, dan usus. Ini menyebabkan penurunan drastis sel darah putih (panleukopenia), melemahkan sistem imun secara parah, dan merusak dinding usus. Gejala utama meliputi demam tinggi, depresi berat, anoreksia total, muntah hebat (sering berwarna kuning kehijauan), diare parah (kadang berdarah), dan dehidrasi cepat. Kematian mendadak bisa terjadi. Infeksi pada induk hamil dapat menyebabkan kelainan pada janin, termasuk hipoplasia serebelum (sindrom kucing goyang). Penularan terjadi melalui kontak langsung atau tidak langsung dengan feses, urin, muntahan, atau benda yang terkontaminasi virus (fomites). Virus dapat bertahan di lingkungan hingga satu tahun.","Belum ada obat antivirus spesifik untuk FPV. Pengobatan bersifat suportif yang sangat agresif dan intensif, biasanya memerlukan rawat inap. Tujuan utamanya adalah menjaga fungsi vital tubuh kucing. Komponen pengobatan krusial meliputi: terapi cairan intravena (infus) untuk mengatasi dehidrasi dan ketidakseimbangan elektrolit, antibiotik spektrum luas untuk melawan infeksi bakteri sekunder, obat anti-muntah (antiemetik) untuk mengontrol muntah, dan dukungan nutrisi (jika kucing tidak muntah, atau melalui nutrisi parenteral/infus). Transfusi darah atau plasma mungkin diperlukan pada kasus anemia atau kehilangan protein yang parah. Prognosis umumnya hati-hati hingga buruk, dan sangat bergantung pada kecepatan dan agresivitas intervensi medis.","Vaksinasi adalah cara pencegahan yang paling efektif dan sangat penting. Vaksin FPL termasuk vaksin inti (*core vaccine*) yang direkomendasikan untuk semua kucing. Anak kucing memerlukan serangkaian vaksinasi awal dan ulangan (booster) sesuai protokol dokter hewan. Disinfeksi lingkungan sangat krusial karena virus sangat resisten; gunakan disinfektan yang terbukti efektif melawan parvovirus, seperti larutan pemutih yang diencerkan. Isolasi kucing yang sakit secara ketat dari kucing lain. Terapkan periode karantina untuk setiap kucing baru. Terapkan praktik kebersihan yang baik, termasuk mencuci tangan dan hindari berbagi peralatan antar kucing. Area yang pernah terkontaminasi tetap berisiko tinggi bagi kucing yang tidak divaksinasi untuk waktu yang sangat lama (hingga satu tahun atau lebih)."
"P14","Suspect Chlamydia (Chlamydiosis Kucing)","Chlamydiosis kucing disebabkan oleh bakteri *Chlamydia felis*. Manifestasi klinis utamanya adalah konjungtivitis (peradangan selaput lendir mata), yang bisa terjadi pada satu atau kedua mata. Gejalanya meliputi mata merah, bengkak, berair, atau mengeluarkan sekret kental (mukopurulen). Kucing juga bisa menyipitkan mata karena tidak nyaman. Selain itu, infeksi ini dapat menyebabkan gejala penyakit saluran pernapasan atas yang ringan seperti bersin dan hidung meler, serta demam dan penurunan nafsu makan pada tahap awal. Penularan terjadi terutama melalui kontak langsung dengan sekret mata atau hidung dari kucing yang terinfeksi. Penyakit ini lebih sering terjadi pada anak kucing dan di lingkungan padat populasi (shelter, cattery). Potensi penularan ke manusia (zoonosis) dianggap rendah. Beberapa kucing dapat menjadi *carrier* (pembawa) tanpa gejala namun tetap menularkan bakteri.","Diagnosis didasarkan pada gejala klinis dan dikonfirmasi dengan tes laboratorium (seperti PCR) pada sampel usap konjungtiva. Pengobatan utama adalah pemberian antibiotik sistemik (oral), dengan doxycycline sebagai pilihan utama. Antibiotik diberikan selama periode waktu yang cukup lama (minimal 4 minggu atau lebih). Sangat penting untuk mengobati semua kucing yang tinggal serumah secara bersamaan untuk mengeliminasi sumber infeksi. Dokter hewan juga dapat meresepkan obat tetes atau salep mata antibiotik untuk mengatasi infeksi lokal. Perawatan suportif lainnya meliputi membersihkan sekret dari mata dan hidung secara teratur. Kepatuhan terhadap durasi penuh pengobatan sangat krusial untuk mencegah kekambuhan atau status *carrier*.","Vaksinasi terhadap *Chlamydia felis* tersedia (termasuk vaksin non-inti) dan dapat membantu mengurangi tingkat keparahan penyakit, terutama untuk kucing berisiko tinggi. Diskusikan dengan dokter hewan mengenai perlunya vaksin ini. Jaga kebersihan lingkungan dengan disinfeksi teratur pada kandang, alas tidur, dan mangkuk. Isolasi kucing yang terinfeksi selama masa pengobatan. Selalu cuci tangan setelah menangani kucing sakit. Hindari kepadatan populasi yang tinggi. Terapkan periode karantina untuk setiap kucing baru sebelum diperkenalkan dengan kucing lain. Menjaga kebersihan area mata secara rutin juga dapat membantu mengurangi risiko infeksi."
"P15","Stomatitis","Stomatitis pada kucing, atau *Feline Chronic Gingivostomatitis* (FCGS), adalah peradangan parah, kronis, dan sangat menyakitkan pada berbagai jaringan mukosa di dalam rongga mulut (gusi, lidah, pipi, langit-langit). Penyebabnya kompleks, diyakini melibatkan respons imun abnormal terhadap plak bakteri pada gigi, dan mungkin diperparah oleh virus seperti Feline Calicivirus (FCV) dan Feline Immunodeficiency Virus (FIV). Gejala utamanya adalah nyeri hebat pada mulut, yang menyebabkan kesulitan makan (disfagia) atau penolakan makan (anoreksia), berujung pada penurunan berat badan. Gejala lain termasuk ngiler berlebihan (kadang berdarah), bau mulut, dan perubahan perilaku (rewel, enggan grooming). Pemeriksaan mulut menunjukkan mukosa yang sangat merah, meradang, bengkak, dan seringkali terdapat ulserasi. Ini adalah kondisi yang sangat menyakitkan dan menurunkan kualitas hidup kucing.","Diagnosis ditegakkan berdasarkan pemeriksaan rongga mulut menyeluruh (seringkali di bawah anestesi). Biopsi dan tes darah (untuk FIV/FeLV) mungkin diperlukan. Pengobatan bersifat multimodal. Prioritas utama adalah manajemen nyeri dengan obat analgesik kuat. Perawatan gigi profesional (pembersihan karang gigi) di bawah anestesi sangat penting. Ekstraksi gigi (pencabutan semua gigi di belakang taring, atau bahkan seluruh gigi) seringkali menjadi tindakan paling efektif untuk kesembuhan jangka panjang, karena menghilangkan permukaan tempat menempelnya plak. Terapi medis lain meliputi antibiotik untuk infeksi sekunder, dan kortikosteroid atau imunosupresan lain untuk menekan peradangan. Perawatan suportif dengan makanan lunak dan suplemen juga penting.","Meskipun penyebabnya kompleks, beberapa langkah dapat membantu mengurangi risiko. Menjaga kebersihan mulut sejak dini sangat penting, termasuk menyikat gigi kucing secara teratur dengan pasta gigi khusus hewan. Berikan diet atau camilan dental untuk mengurangi pembentukan plak. Lakukan pemeriksaan gigi rutin ke dokter hewan, termasuk pembersihan karang gigi profesional jika diperlukan, untuk mendeteksi masalah pada tahap awal. Mengelola dan mengobati penyakit penyerta seperti infeksi FCV atau FIV juga penting. Memberikan nutrisi yang baik dapat mendukung sistem kekebalan tubuh yang sehat. Pertimbangkan kemungkinan adanya komponen genetik pada ras tertentu dalam program pembiakan."
"P16","Otitis","Otitis adalah peradangan pada telinga, diklasifikasikan berdasarkan lokasinya: Otitis Eksterna (saluran telinga luar, paling umum), Otitis Media (telinga tengah, seringkali komplikasi dari otitis eksterna kronis), dan Otitis Interna (telinga dalam, paling serius, dapat menyebabkan gangguan pendengaran dan keseimbangan). Penyebabnya multifaktorial, melibatkan faktor primer (yang memicu peradangan awal, seperti alergi, tungau telinga, benda asing, tumor), faktor sekunder (infeksi bakteri atau jamur/ragi *Malassezia* yang memperburuk kondisi), dan faktor predisposisi (yang meningkatkan risiko, seperti anatomi telinga yang terkulai atau kelembaban berlebih). Gejala Otitis Eksterna meliputi gatal, kemerahan, bengkak, nyeri, bau tidak sedap, dan produksi kotoran berlebih. Otitis Media/Interna dapat menyebabkan gejala neurologis seperti kepala miring, nistagmus, atau ataksia.","Diagnosis ditegakkan oleh dokter hewan melalui pemeriksaan fisik, otoskopi, dan sitologi (pemeriksaan mikroskopis sampel dari telinga) untuk mengidentifikasi adanya bakteri atau ragi. Pengobatan sangat bergantung pada penyebab yang mendasarinya. Langkah pertama adalah pembersihan saluran telinga secara menyeluruh oleh dokter hewan. Selanjutnya, diberikan obat tetes telinga yang mengandung kombinasi antibiotik, antijamur, dan anti-inflamasi. Jika ada infeksi sistemik atau otitis media/interna, antibiotik atau antijamur oral mungkin diperlukan. Mengidentifikasi dan mengelola faktor primer (misalnya, mengobati alergi atau infestasi tungau) sangat krusial untuk mencegah kekambuhan. Pada kasus kronis atau parah, pembedahan mungkin diperlukan.","Pencegahan otitis berfokus pada manajemen faktor risiko. Periksa dan bersihkan telinga hewan secara rutin sesuai petunjuk dokter hewan, terutama pada ras yang rentan. Jaga agar telinga tetap kering; keringkan dengan hati-hati setelah mandi atau berenang. Segera obati dan kelola kondisi primer seperti alergi atau infestasi parasit (misalnya, tungau telinga). Pemberian obat cacing dan anti-parasit eksternal secara rutin juga penting. Lakukan pemeriksaan kesehatan rutin ke dokter hewan untuk deteksi dini masalah telinga. Hindari memasukkan benda seperti cotton bud ke dalam saluran telinga karena dapat mendorong kotoran lebih dalam dan menyebabkan trauma."
"P17","Rabies","Rabies, atau penyakit anjing gila, adalah penyakit infeksi virus akut yang menyerang sistem saraf pusat pada mamalia, termasuk manusia (zoonosis), dan hampir selalu fatal begitu gejala klinis muncul. Disebabkan oleh virus dari genus Lyssavirus, penularan utamanya melalui gigitan hewan terinfeksi yang air liurnya mengandung virus dalam konsentrasi tinggi. Gejala berkembang dalam beberapa tahap: prodromal (perubahan perilaku), eksitasi/agresif (sangat peka dan agresif), dan paralitik (kelumpuhan progresif yang berujung pada kematian). Gejala khasnya meliputi perubahan perilaku drastis, produksi air liur berlebih (hipersalivasi), dan kesulitan menelan.","Tidak ada pengobatan yang efektif untuk rabies pada hewan setelah gejala klinis muncul; eutanasia seringkali direkomendasikan untuk mencegah penderitaan lebih lanjut dan risiko penularan. Bagi manusia yang terpapar, penanganan segera melalui Profilaksis Pasca Pajanan (PEP) sangat krusial dan efektif. PEP meliputi dua langkah utama: 1) Perawatan luka sesegera mungkin dengan mencuci luka gigitan/cakaran secara menyeluruh menggunakan sabun/deterjen dan air mengalir selama 10-15 menit, diikuti pemberian antiseptik. 2) Pemberian Vaksin Anti Rabies (VAR) untuk merangsang kekebalan aktif dan, jika diindikasikan, Serum Anti Rabies (SAR) untuk memberikan kekebalan pasif instan.","Pencegahan adalah kunci utama dalam pengendalian rabies. Langkah yang paling efektif adalah melalui vaksinasi rabies secara rutin dan berkala pada hewan peliharaan seperti anjing dan kucing. Selain itu, penting untuk menjaga hewan peliharaan agar tidak berkeliaran bebas dan menghindari kontak dengan hewan liar atau hewan asing yang status vaksinasinya tidak diketahui. Edukasi kepada masyarakat mengenai bahaya rabies, cara penularan, dan tindakan yang harus dilakukan jika terjadi gigitan hewan sangat penting. Manusia yang memiliki risiko tinggi terpapar, seperti dokter hewan atau petugas penangkap hewan, dianjurkan untuk mendapatkan vaksinasi pra-pajanan."
"P18","Stud Tail (Kelenjar Ekor)","Stud tail, atau hiperplasia kelenjar supracaudal, adalah kondisi dermatologis akibat aktivitas berlebih kelenjar minyak (sebasea) di pangkal ekor, terutama pada kucing jantan yang tidak dikebiri. Pemicu utamanya adalah hormon androgen (testosteron) yang merangsang produksi sebum berlebih. Faktor lain meliputi perawatan diri (*grooming*) yang buruk akibat obesitas atau masalah persendian, serta predisposisi genetik pada beberapa ras. Gejalanya meliputi area pangkal ekor yang tampak berminyak, kotor, dan berkerak kehitaman, kerontokan bulu, serta munculnya komedo (bintik hitam). Jika tidak ditangani, dapat terjadi infeksi bakteri sekunder (folikulitis).","Pengobatan berfokus pada pengurangan produksi sebum dan mengatasi infeksi sekunder. Langkah utama meliputi pembersihan rutin area pangkal ekor menggunakan sampo khusus yang mengandung agen pembersih lemak (*degreasing agent*) seperti *benzoyl peroxide*. Jika terjadi infeksi bakteri sekunder, dokter hewan akan meresepkan antibiotik sistemik atau topikal. Solusi jangka panjang yang paling efektif untuk kucing jantan utuh adalah tindakan sterilisasi (kebiri/kastrasi), yang secara signifikan akan mengurangi kadar testosteron dan produksi sebum. Mengatasi faktor lain seperti obesitas atau nyeri sendi juga penting untuk memperbaiki kemampuan *grooming* kucing.","Pencegahan stud tail yang paling efektif pada kucing jantan adalah dengan melakukan prosedur kebiri, idealnya sebelum mencapai kematangan seksual. Menjaga kebersihan rutin dengan memandikan dan menyikat bulu kucing, terutama di area pangkal ekor, juga sangat membantu. Mencegah obesitas dengan menjaga berat badan ideal akan memastikan kucing tetap lincah dan mampu merawat dirinya sendiri secara menyeluruh. Selain itu, menciptakan lingkungan yang nyaman dan bebas stres dapat membantu menjaga keseimbangan hormonal dan perilaku *grooming* yang normal."
"P19","Borok (Eosinophilic Granuloma Complex)","Eosinophilic Granuloma Complex (EGC) adalah sekelompok kelainan kulit inflamasi pada kucing yang seringkali dipicu oleh reaksi alergi atau hipersensitivitas. Terdapat tiga bentuk utama: 1) Ulkus Indolen (borok bibir), lesi borok yang tidak nyeri di bibir atas; 2) Plak Eosinofilik, lesi datar menonjol berwarna merah dan sangat gatal, biasanya di perut atau paha; 3) Granuloma Eosinofilik, benjolan atau plak linear keras yang bisa muncul di kulit, mulut, atau bantalan kaki. Penyebab paling umum adalah alergi terhadap gigitan kutu, makanan, atau alergen lingkungan (atopi).","Pengobatan EGC bersifat multifaset. Langkah pertama adalah diagnosis akurat melalui pemeriksaan fisik, sitologi (untuk melihat akumulasi eosinofil), dan terkadang biopsi. Untuk mengatasi lesi akut, kortikosteroid (oral atau injeksi) adalah terapi andalan untuk menekan peradangan dan gatal. Siklosporin dapat menjadi alternatif untuk penggunaan jangka panjang. Antibiotik diperlukan jika ada infeksi bakteri sekunder. Aspek terpenting adalah mengidentifikasi dan mengelola alergi pemicu, misalnya melalui program kontrol kutu yang ketat, diet eliminasi untuk alergi makanan, atau imunoterapi untuk atopi.","Pencegahan EGC berfokus pada pengelolaan pemicu alergi yang diketahui. Jika alergen spesifik (kutu, makanan, atau lingkungan) telah diidentifikasi, menghindari paparan adalah strategi paling efektif. Oleh karena itu, kontrol kutu yang ketat dan konsisten sepanjang tahun sangat direkomendasikan untuk semua kucing. Jika terdiagnosis alergi makanan, pemberian diet hipoalergenik secara permanen adalah kunci. Untuk atopi, upaya mengurangi paparan alergen lingkungan (misalnya, dengan menjaga kebersihan rumah dan menggunakan filter udara) dapat membantu. Jika hipersensitivitas gigitan nyamuk dicurigai, jaga kucing di dalam ruangan saat nyamuk aktif."
"P20","Alergi Kulit (Allergic Dermatitis)","Dermatitis alergi adalah peradangan kulit akibat reaksi hipersensitivitas terhadap alergen dari lingkungan (atopi), makanan, atau gigitan parasit (terutama kutu). Ini adalah penyebab utama gatal kronis pada anjing dan kucing. Gejala utamanya adalah gatal (pruritus) yang intens, kemerahan pada kulit, ruam, kerontokan bulu, dan seringkali diperparah oleh infeksi kulit (pyoderma) atau telinga (otitis eksterna) sekunder yang berulang. Distribusi lesi seringkali memberikan petunjuk penyebabnya: FAD di punggung belakang/pangkal ekor, atopi dan alergi makanan sering di wajah, telinga, dan kaki.","Pengobatan bersifat multimodal dan bertujuan mengelola kondisi seumur hidup ini. Kuncinya adalah diagnosis akurat untuk mengidentifikasi pemicu, yang mungkin melibatkan diet eliminasi untuk alergi makanan atau tes alergi untuk atopi, setelah menyingkirkan parasit. Terapi meliputi: 1) Menghindari alergen jika memungkinkan. 2) Obat anti-gatal dan anti-inflamasi (kortikosteroid, siklosporin, oclacitinib/lokivetmab untuk anjing). 3) Terapi topikal dengan sampo medis untuk mengobati infeksi sekunder dan menenangkan kulit. 4) Imunoterapi spesifik alergen (suntikan alergi) untuk kasus atopi. 5) Mengobati infeksi bakteri/jamur sekunder dengan antibiotik/antijamur.","Karena alergi seringkali bersifat genetik, pencegahan total sulit dilakukan. Namun, frekuensi dan keparahan dapat dikurangi. Langkah terpenting adalah kontrol kutu yang ketat dan rutin sepanjang tahun pada semua hewan peliharaan di rumah. Jika alergi makanan terdiagnosis, berikan diet hipoalergenik secara permanen dan hindari semua camilan lain. Untuk atopi, usahakan mengurangi paparan alergen lingkungan dengan menjaga kebersihan rumah, menggunakan filter udara, dan memandikan hewan setelah bermain di luar. Perawatan kulit yang baik dan pembiakan yang bertanggung jawab (tidak membiakkan hewan dengan alergi parah) juga penting."
"P21","Abses (Abscess)","Abses adalah kumpulan nanah yang terlokalisir dalam suatu rongga jaringan, yang merupakan respons tubuh terhadap infeksi bakteri. Penyebab paling umum pada kucing dan anjing adalah luka tembus akibat gigitan atau cakaran dari hewan lain, yang memasukkan bakteri (seringkali *Pasteurella spp.* dari mulut kucing) ke bawah kulit. Gejala utamanya adalah munculnya benjolan yang bengkak, nyeri, hangat saat disentuh, dan terasa lunak (berfluktuasi). Gejala sistemik seperti demam dan kelesuan bisa menyertai. Jika abses pecah, akan keluar cairan nanah kental yang seringkali berbau busuk.","Penanganan abses harus dilakukan oleh dokter hewan. Hanya memberikan antibiotik seringkali tidak cukup. Langkah pengobatan paling krusial adalah drainase bedah, di mana dokter hewan akan membuat sayatan pada abses untuk mengeluarkan semua nanah. Setelah itu, rongga abses akan dibersihkan dan dibilas secara menyeluruh (lavage). Terkadang, drain sementara dipasang untuk memastikan nanah terus keluar. Pemberian antibiotik sistemik (oral atau injeksi) dan obat pereda nyeri sangat penting untuk memberantas infeksi dan mengelola rasa sakit. Penggunaan corong pelindung (*E-collar*) diperlukan untuk mencegah hewan menjilati luka.","Pencegahan abses berfokus pada pengurangan risiko trauma dan perkelahian. Sterilisasi atau kebiri sangat efektif mengurangi perilaku agresif dan teritorial, sehingga menurunkan kemungkinan berkelahi. Memelihara kucing secara eksklusif di dalam ruangan (*indoor only*) secara signifikan mengurangi risiko perkelahian dengan hewan liar atau tetangga. Jika hewan mengalami luka, terutama luka tusukan, segera bersihkan dan konsultasikan dengan dokter hewan. Menjaga kesehatan gigi dan mulut yang baik juga penting untuk mencegah abses gigi, yang merupakan jenis abses umum lainnya."
"P22","Pyoderma","Pyoderma secara harfiah berarti 'nanah di kulit' dan merujuk pada infeksi bakteri pada kulit. Ini adalah salah satu masalah kulit paling umum pada anjing. Pyoderma bisa superfisial (melibatkan lapisan luar kulit dan folikel rambut, misal folikulitis) atau dalam (menembus hingga ke dermis, lebih serius). Penting untuk dipahami bahwa pyoderma seringkali merupakan kondisi sekunder, yang dipicu oleh masalah lain yang mendasarinya, seperti alergi (pemicu paling umum), infestasi parasit (kutu, tungau), atau gangguan hormonal (hipotiroidisme, Cushing's). Bakteri penyebab utamanya adalah *Staphylococcus pseudintermedius*.","Pengobatan pyoderma melibatkan dua tujuan utama: memberantas infeksi bakteri yang ada dan mengidentifikasi serta mengelola penyebab dasar untuk mencegah kekambuhan. Terapi topikal dengan sampo medis antibakteri (mengandung klorheksidin atau benzoil peroksida) sangat penting untuk mengurangi bakteri di permukaan kulit. Antibiotik sistemik (oral/injeksi) diperlukan untuk kasus yang luas atau dalam. Idealnya, pemilihan antibiotik didasarkan pada hasil kultur bakteri dan uji sensitivitas untuk menghindari resistensi. Durasi pengobatan harus sesuai petunjuk dokter hewan dan tidak boleh dihentikan terlalu dini.","Pencegahan pyoderma yang paling efektif adalah dengan mengelola dan mengobati kondisi primer yang menjadi pemicunya. Misalnya, jika pyoderma disebabkan oleh alergi, maka alergi tersebut harus dikelola dengan baik. Langkah pencegahan lainnya meliputi: 1) Perawatan kulit dan bulu yang baik dan teratur. 2) Kontrol parasit eksternal (kutu, tungau) yang efektif dan konsisten sepanjang tahun. 3) Pemberian diet berkualitas tinggi untuk mendukung kesehatan kulit dan sistem imun. 4) Penggunaan antibiotik yang bijaksana dan hanya jika benar-benar diperlukan sesuai resep dokter hewan untuk mencegah perkembangan bakteri resisten."
